iter	AUC	RMSE
452	0.8520253327	0.3306785628
453	0.8523010294	0.3306131031
454	0.8527058405	0.3304720946
455	0.8531045821	0.3303820886
456	0.8534072696	0.3303112705
457	0.8535897137	0.3302584519
458	0.8537865277	0.3301744252
459	0.8540271703	0.3301167945
460	0.854250323	0.3300389116
461	0.8544750838	0.3299706123
462	0.8549221377	0.3298343583
463	0.8550481766	0.32974529
464	0.8551967969	0.3296907423
465	0.8553937146	0.3296324867
466	0.8554977576	0.3295769555
467	0.8557092454	0.3294941788
468	0.8562238357	0.3293651646
469	0.856477581	0.3292867776
470	0.8567305333	0.3292145494
471	0.8569255168	0.329129491
472	0.8570876399	0.3290712914
473	0.8572680755	0.3290016548
474	0.8574433161	0.3289473913
475	0.857763627	0.3288629081
476	0.8579744033	0.3287803831
477	0.8582609868	0.3286893388
478	0.8584914319	0.3286254949
479	0.8588541189	0.3284997726
480	0.8590020573	0.3284395111
481	0.8592014577	0.3283431857
482	0.8594424783	0.3282483254
483	0.8598194612	0.3281289921
484	0.8600203216	0.3280492951
485	0.8601868245	0.3279872311
486	0.8602992272	0.3279493573
487	0.8604866737	0.3278971719
488	0.8606826576	0.3278108579
489	0.8609679516	0.3277105288
490	0.8613340402	0.327612926
491	0.8615521979	0.3275412664
492	0.8618874197	0.3274317723
493	0.8620896067	0.3273503382
494	0.8624062862	0.3272693876
495	0.862593162	0.3271850566
496	0.8629137323	0.3270506638
497	0.8633040253	0.3269376555
498	0.863639766	0.326826074
499	0.8638287169	0.3267502985
500	0.8641514141	0.3266405454
501	0.8643748781	0.32658617
502	0.8646666789	0.3265084702
503	0.8648790559	0.3264144559
504	0.8652387934	0.3263329624
505	0.8653577918	0.3262740161
506	0.8655547244	0.3262115865
507	0.8658887308	0.3261027576
508	0.8661440324	0.3260235061
509	0.8663208664	0.3259502479
510	0.8667888044	0.3258354898
511	0.867206859	0.3256864127
512	0.8675407988	0.3255930715
513	0.8678008731	0.3255079934
514	0.8681074662	0.3253875024
515	0.8682705083	0.3253311223
516	0.8686362264	0.3251566349
517	0.8688730746	0.3250828887
518	0.8692476711	0.324947686
519	0.8694855272	0.3248751878
520	0.8698831868	0.3247571779
521	0.8701286021	0.3246843819
522	0.8704774602	0.3245632448
523	0.8706757563	0.3245021202
524	0.8707923759	0.3244447384
525	0.8709562776	0.3243884381
526	0.8710842137	0.3243458134
527	0.8712729349	0.3242825581
528	0.8714664287	0.3242176816
529	0.8716806215	0.324146092
530	0.871956207	0.3240668925
531	0.8720853586	0.3240217268
532	0.8722107082	0.3239643888
533	0.8724451108	0.3238957225
534	0.872785928	0.3237541616
535	0.8730077911	0.3236805211
536	0.8731744349	0.3236095243
537	0.8735174309	0.323513985
538	0.8739566365	0.3233811499
539	0.8740374757	0.3233100812
540	0.8742536324	0.3232085225
541	0.8744334382	0.3231216678
542	0.874568852	0.3230711437
543	0.8747453746	0.3230143222
544	0.8750151129	0.3229118662
545	0.875302971	0.3228051409
546	0.8754443803	0.3227567792
547	0.8756787755	0.3226794254
548	0.8759209596	0.3226048097
549	0.8761745567	0.3225357439
550	0.8763879269	0.3224706701
551	0.876517234	0.3224260138
552	0.8767740623	0.3223177209
553	0.8769685492	0.3222599667
554	0.8771134788	0.3222163799
555	0.8773915692	0.3221242659
556	0.8777210624	0.3219823894
